    1,           ayoub,        3,       62,       25-4-2024
    1,           ayoub,        3,       57,       25-4-2024
    1,           ggsdf,        54,       9,       25-4-2024
    1,           ayoub,        3,       62,       25-4-2024
    1,           ayoub,        3,       57,       25-4-2024
    1,           ggsdf,        54,       9,       25-4-2024
    1,           ggsdf,        54,       9,       25-4-2024
    1,           ggsdf,        54,       9,       25-4-2024
    1,           ggsdf,        54,       9,       25-4-2024
    1,           ggsdf,        54,       9,       25-4-2024
    1,           ggsdf,        54,       9,       25-4-2024
    1,           ggsdf,        54,       9,       25-4-2024
    1,           ggsdf,        54,       9,       25-4-2024
    1,           QQ,        57,       0,       25-4-2024
    1,           xfd,        42,       0,       25-4-2024
    1,           qsd,        53,       15,       25-4-2024
    1,           ggg,        28,       21,       25-4-2024
    1,           ff,        36,       9,       25-4-2024
    1,           hh,        56,       9,       25-4-2024
    1,           gg,        -1,       60,       25-4-2024
    1,           gg,        44,       18,       25-4-2024
    1,           ff,        53,       15,       25-4-2024
    1,           gg,        48,       3,       25-4-2024
    1,           sdf ,        40,       6,       25-4-2024
    1,           gg,        32,       9,       25-4-2024
    1,           sdf,        41,       3,       25-4-2024
    1,           gg,        -1,       57,       25-4-2024
    1,           gg,        51,       15,       25-4-2024
    1,           GGG,        58,       3,       25-4-2024
    1,           GG,        51,       0,       25-4-2024
    1,           GG,        3,       48,       25-4-2024
    1,           ff,        60,       3,       25-4-2024
    1,           GG,        57,       3,       25-4-2024
    1,           GG,        51,       0,       25-4-2024
    1,           gg,        53,       3,       25-4-2024
    1,           ggg,        30,       0,       25-4-2024
    1,           gg,        47,       0,       25-4-2024
    1,           gg,        29,       0,       25-4-2024
    1,           GGG,        50,       3,       25-4-2024
    1,           HH,        -5,       6,       25-4-2024
    1,           GGG,        33,       0,       25-4-2024
    1,           ff,        60,       6,       26-4-2024
    1,           ffffff,        62,       3,       26-4-2024
    1,           gg,        57,       0,       26-4-2024
    1,           gg,        29,       12,       26-4-2024
    1,           ffff,        58,       3,       26-4-2024
    1,           hhhhh,        59,       0,       26-4-2024
    1,           hhh,        57,       0,       26-4-2024
    1,           Justin,        56,       6,       27-4-2024
    1,           ggsgs,        0,       0,       27-4-2024
    1,           Ayouvb,        43,       6,       9-5-2024
    1,           ytyt,        23,       24,       10-5-2024
    1,           kjkjk,        39,       3,       10-5-2024
    1,           uiu,        36,       18,       10-5-2024
    1,           gfg',        30,       33,       10-5-2024
    1,           jhghg,        57,       9,       10-5-2024
    1,           hghg,        14,       21,       10-5-2024
    1,           ddd,        44,       15,       8-11-2024
